Date,Close/Last,Volume,Open,High,Low
10/01/2025,$166.49,6153017,$165.80,$166.77,$164.49
09/30/2025,$166.36,5593278,$165.64,$166.8356,$164.8796
09/29/2025,$165.30,7523124,$169.20,$169.84,$164.76
09/26/2025,$169.20,4846018,$169.68,$170.93,$168.1325
09/25/2025,$169.68,8093721,$171.21,$171.97,$167.935
09/24/2025,$173.55,9213654,$169.05,$174.44,$168.67
09/23/2025,$169.53,5468356,$169.82,$170.8476,$168.30
09/22/2025,$169.72,6196606,$166.85,$170.22,$165.92
09/19/2025,$166.85,19444430,$169.17,$169.58,$166.29
09/18/2025,$168.13,10421220,$166.88,$168.86,$166.225
09/17/2025,$165.26,6057848,$164.68,$166.3688,$163.23
09/16/2025,$164.14,7997458,$161.82,$165.00,$161.50
09/15/2025,$161.22,5604785,$161.40,$162.68,$160.21
09/12/2025,$161.83,5430605,$161.33,$162.33,$159.58
09/11/2025,$161.51,8360155,$159.19,$162.07,$157.96
09/10/2025,$158.95,8256930,$158.62,$159.21,$156.6101
09/09/2025,$158.66,6125983,$160.37,$161.605,$157.57
09/08/2025,$160.24,7019709,$160.29,$160.29,$158.01
09/05/2025,$159.84,7954191,$160.08,$163.49,$159.15
09/04/2025,$159.71,7781194,$156.20,$159.86,$154.47
09/03/2025,$157.28,6336394,$159.395,$159.57,$156.06
09/02/2025,$158.78,7520324,$157.82,$158.94,$154.60
